query_id,query_text,predicted_doc_id,predicted_rank,ground_truth_doc_ids,is_relevant,expansion_terms
q20105,sort by a token in string python,d20105,1,d20105,True,sort;string;search;integer;condition
q20105,sort by a token in string python,d18078,2,d20105,False,sort;string;search;integer;condition
q20105,sort by a token in string python,d5613,3,d20105,False,sort;string;search;integer;condition
q20105,sort by a token in string python,d1400,4,d20105,False,sort;string;search;integer;condition
q20105,sort by a token in string python,d5575,5,d20105,False,sort;string;search;integer;condition
q20105,sort by a token in string python,d19792,6,d20105,False,sort;string;search;integer;condition
q20105,sort by a token in string python,d15748,7,d20105,False,sort;string;search;integer;condition
q20105,sort by a token in string python,d13259,8,d20105,False,sort;string;search;integer;condition
q20105,sort by a token in string python,d3747,9,d20105,False,sort;string;search;integer;condition
q20105,sort by a token in string python,d7604,10,d20105,False,sort;string;search;integer;condition
q20106,python check file is readonly,d20044,1,d20106,False,file;read;error;open;close
q20106,python check file is readonly,d12374,2,d20106,False,file;read;error;open;close
q20106,python check file is readonly,d20106,3,d20106,True,file;read;error;open;close
q20106,python check file is readonly,d19691,4,d20106,False,file;read;error;open;close
q20106,python check file is readonly,d3654,5,d20106,False,file;read;error;open;close
q20106,python check file is readonly,d8390,6,d20106,False,file;read;error;open;close
q20106,python check file is readonly,d10691,7,d20106,False,file;read;error;open;close
q20106,python check file is readonly,d13737,8,d20106,False,file;read;error;open;close
q20106,python check file is readonly,d4548,9,d20106,False,file;read;error;open;close
q20106,python check file is readonly,d5280,10,d20106,False,file;read;error;open;close
q20107,declaring empty numpy array in python,d18762,1,d20107,False,array;error;integer;delete;loop
q20107,declaring empty numpy array in python,d17860,2,d20107,False,array;error;integer;delete;loop
q20107,declaring empty numpy array in python,d17161,3,d20107,False,array;error;integer;delete;loop
q20107,declaring empty numpy array in python,d18254,4,d20107,False,array;error;integer;delete;loop
q20107,declaring empty numpy array in python,d17884,5,d20107,False,array;error;integer;delete;loop
q20107,declaring empty numpy array in python,d16845,6,d20107,False,array;error;integer;delete;loop
q20107,declaring empty numpy array in python,d13722,7,d20107,False,array;error;integer;delete;loop
q20107,declaring empty numpy array in python,d5626,8,d20107,False,array;error;integer;delete;loop
q20107,declaring empty numpy array in python,d14709,9,d20107,False,array;error;integer;delete;loop
q20107,declaring empty numpy array in python,d9345,10,d20107,False,array;error;integer;delete;loop
q20108,test for iterable is string in python,d15244,1,d20108,False,string;integer;error;function;method
q20108,test for iterable is string in python,d3807,2,d20108,False,string;integer;error;function;method
q20108,test for iterable is string in python,d12694,3,d20108,False,string;integer;error;function;method
q20108,test for iterable is string in python,d12337,4,d20108,False,string;integer;error;function;method
q20108,test for iterable is string in python,d11890,5,d20108,False,string;integer;error;function;method
q20108,test for iterable is string in python,d20413,6,d20108,False,string;integer;error;function;method
q20108,test for iterable is string in python,d15415,7,d20108,False,string;integer;error;function;method
q20108,test for iterable is string in python,d12157,8,d20108,False,string;integer;error;function;method
q20108,test for iterable is string in python,d8132,9,d20108,False,string;integer;error;function;method
q20108,test for iterable is string in python,d10571,10,d20108,False,string;integer;error;function;method
q20109,python print results of query loop,d20109,1,d20109,True,query;loop;row;search;database;return
q20109,python print results of query loop,d15575,2,d20109,False,query;loop;row;search;database;return
q20109,python print results of query loop,d15102,3,d20109,False,query;loop;row;search;database;return
q20109,python print results of query loop,d8103,4,d20109,False,query;loop;row;search;database;return
q20109,python print results of query loop,d11497,5,d20109,False,query;loop;row;search;database;return
q20109,python print results of query loop,d12163,6,d20109,False,query;loop;row;search;database;return
q20109,python print results of query loop,d10633,7,d20109,False,query;loop;row;search;database;return
q20109,python print results of query loop,d10667,8,d20109,False,query;loop;row;search;database;return
q20109,python print results of query loop,d4967,9,d20109,False,query;loop;row;search;database;return
q20109,python print results of query loop,d12943,10,d20109,False,query;loop;row;search;database;return
q20110,how to save header of fits file to export python,d9869,1,d20110,False,save;file;write;update;database
q20110,how to save header of fits file to export python,d14035,2,d20110,False,save;file;write;update;database
q20110,how to save header of fits file to export python,d20331,3,d20110,False,save;file;write;update;database
q20110,how to save header of fits file to export python,d10028,4,d20110,False,save;file;write;update;database
q20110,how to save header of fits file to export python,d20110,5,d20110,True,save;file;write;update;database
q20110,how to save header of fits file to export python,d16089,6,d20110,False,save;file;write;update;database
q20110,how to save header of fits file to export python,d10481,7,d20110,False,save;file;write;update;database
q20110,how to save header of fits file to export python,d7985,8,d20110,False,save;file;write;update;database
q20110,how to save header of fits file to export python,d10830,9,d20110,False,save;file;write;update;database
q20110,how to save header of fits file to export python,d12639,10,d20110,False,save;file;write;update;database
q20111,python calc page align,d7137,1,d20111,False,integer;column;error;function;close
q20111,python calc page align,d1605,2,d20111,False,integer;column;error;function;close
q20111,python calc page align,d12199,3,d20111,False,integer;column;error;function;close
q20111,python calc page align,d17008,4,d20111,False,integer;column;error;function;close
